x,Los Angeles Angels of Anaheim,Arizona Diamondbacks,Atlanta Braves,Baltimore Orioles,Boston Red Sox,Chicago Cubs,Chicago White Sox,Cincinnati Reds,Cleveland Indians,Colorado Rockies,Detroit Tigers,Florida Marlins,Houston Astros,Kansas City Royals,Los Angeles Dodgers,Milwaukee Brewers,Minnesota Twins,New York Mets,New York Yankees,Oakland Athletics,Philadelphia Phillies,Pittsburgh Pirates,San Diego Padres,Seattle Mariners,San Francisco Giants,St. Louis Cardinals,Tampa Bay Rays,Texas Rangers,Toronto Blue Jays,Washington Nationals
1985,14.43,0.00,14.81,11.56,10.90,12.70,9.85,8.36,6.55,0.00,10.35,0.00,9.99,9.32,10.97,11.28,5.76,10.83,14.24,9.06,10.12,9.23,11.04,4.61,8.22,11.82,0.00,7.68,8.81,9.47
1986,14.43,0.00,17.10,13.00,14.40,17.21,10.42,11.91,7.81,0.00,12.34,0.00,9.87,13.04,14.91,9.94,8.75,15.39,18.49,9.78,11.59,10.84,11.38,5.96,8.95,9.88,0.00,6.74,12.61,11.10
1987,12.84,0.00,16.54,13.90,10.14,14.31,10.64,9.28,8.51,0.00,12.12,0.00,12.61,11.83,13.68,7.29,6.40,13.85,17.10,11.68,11.51,7.65,11.07,2.26,7.29,11.76,0.00,0.88,10.48,6.94
1988,11.95,0.00,12.73,13.53,13.90,13.12,6.39,8.89,8.94,0.00,12.87,0.00,12.29,14.56,16.85,8.40,12.46,15.27,19.44,9.69,13.84,6.00,9.56,7.34,12.38,12.88,0.00,5.34,12.24,9.60
1989,15.10,0.00,11.11,8.28,17.48,10.67,7.27,11.07,9.09,0.00,15.15,0.00,15.03,18.68,21.07,11.53,15.53,19.89,17.11,15.61,10.60,12.74,14.20,9.78,14.96,16.08,0.00,11.89,16.26,13.81
1990,21.72,0.00,14.56,9.68,20.56,13.62,9.49,14.37,14.49,0.00,17.59,0.00,18.33,23.36,21.32,19.72,14.60,21.72,20.91,19.89,13.17,15.56,17.59,12.55,19.34,20.52,0.00,14.87,17.76,16.59
1991,33.06,0.00,18.40,17.52,35.17,23.18,16.92,26.31,17.64,0.00,23.84,0.00,12.85,26.32,32.79,23.12,23.36,32.59,27.34,37.00,22.49,23.63,22.15,15.69,30.97,21.86,0.00,18.22,19.90,10.73
1992,34.75,0.00,34.63,23.78,43.61,29.83,30.16,35.93,9.37,0.00,27.32,0.00,15.41,33.89,44.79,31.01,28.03,44.60,37.54,41.04,24.38,33.94,26.85,23.18,33.16,27.58,0.00,30.13,44.79,15.82
1993,28.59,0.00,41.64,29.10,37.12,39.39,39.70,44.88,18.56,10.35,38.15,19.33,30.21,41.35,39.33,23.81,28.22,39.04,42.62,37.81,28.54,24.82,25.51,32.70,35.05,23.37,0.00,36.38,47.28,18.90
1994,25.16,0.00,49.38,38.85,37.86,36.29,39.18,40.96,30.49,23.89,41.45,21.63,33.13,40.54,38.00,24.35,28.44,30.96,45.73,34.17,31.60,24.22,14.92,29.23,42.64,29.28,0.00,32.97,43.43,19.10
